Corri el:
mar nov 10 11:01:54 -05 2020
begin of the script
['1G4I', '1HK0', '1IET', '1IMQ', '1LVE', '1MSI', '1ONC', '1P2P', '1PDO', '1QND', '1SSO']
analyzing 1G4I
analzying FA22A
size of 1G4I = 3925
Graph (s) |  Centrality(s)
  4.0492  |  0.1896 
  2.3052  |  0.2175 
  2.3115  |  0.2055 
  2.3227  |  0.1988 
  2.2995  |  0.2110 
  2.2925  |  0.2177 
  2.2893  |  0.2163 
  2.2904  |  0.2113 
  2.3346  |  0.2024 
  3.9743  |  0.3913 
  3.9248  |  0.3672 
  3.8632  |  0.3953 
  3.8425  |  0.3958 
  3.8303  |  0.4110 
  2.0884  |  0.2158 
analyzing WT of 1MSI
size of 1MSI = 2142
Graph (s) | Centrality (all mutants 6)(s)
  2.1253  |  2.9600 
  2.0995  |  2.9960 
  2.0960  |  3.1035 
  2.1852  |  3.1722 
  2.3525  |  3.2508 
  2.2960  |  3.2505 
  2.3010  |  3.1109 
  3.3871  |  6.3561 
  3.4455  |  3.1778 
  4.2247  |  6.3770 
  3.9729  |  6.1483 
  3.8702  |  6.3023 
  2.1066  |  3.2104 
  2.2743  |  3.2689 
  2.3294  |  3.2439 
  2.3138  |  3.2983 
  2.2942  |  3.2801 
  2.2948  |  3.2528 
  3.9864  |  6.3692 
  4.2587  |  6.3742 
analzying RA23A
size of 1MSI = 2149
Graph (s) |  Centrality(s)
  2.3817  |  0.2489 
  2.3465  |  0.2388 
  2.2870  |  0.2376 
  3.5177  |  0.4677 
  4.3439  |  0.4558 
  3.9274  |  0.4515 
  3.8904  |  0.4421 
  3.8916  |  0.4550 
  3.9124  |  0.4673 
  3.9211  |  0.4727 
  3.8875  |  0.4900 
  3.9032  |  0.4660 
  3.9173  |  0.4781 
  3.3566  |  0.4882 
  3.2970  |  0.4842 
  3.9295  |  0.4806 
  3.9012  |  0.4637 
  2.1790  |  0.2378 
  3.9084  |  0.4793 
  3.8904  |  0.4661 
analyzing 1ONC
analzying FA28A
size of 1ONC = 3042
Graph (s) |  Centrality(s)
  8.8387  |  0.8028 
  6.9138  |  0.3821 
